Key,Sessions,Page Views,Orders ,Units ,Revenue ,Total Time Spent
Z_FBW1882,16804,74572,117,151,"23,990.00 ","3,839,270 "
Z_FBW2040,26678,55245,119,192,"19,536.50 ","2,523,771 "
Z_FBW1849,11856,49153,62,77,"11,586.50 ","2,417,796 "
Z_FBW1865,13151,40804,27,34,"5,622.50 ","2,393,382 "
Z_FBW1883,12184,47911,65,78,"11,862.50 ","2,382,299 "
Z_FBW1618,9087,34610,44,57,"10,113.00 ","2,267,268 "
Z_FBW1839,11090,34320,22,36,"5,876.00 ","2,180,314 "
Z_FBW1858,10112,39388,58,71,"11,134.50 ","1,934,920 "
Z_FBW1867,8918,31132,21,21,"4,238.00 ","1,916,509 "
Z_FBW1844,9496,28344,14,18,"2,206.00 ","1,761,764 "
Z_FBW1873,4366,15633,15,20,"2,702.50 ","808,655 "
Z_FBW1933,4251,15832,17,21,"4,300.50 ","754,635 "
Z_FBW1934,4295,14833,17,21,"3,548.00 ","692,362 "
Z_FBW2042,3146,9993,11,17,"2,621.00 ","668,593 "
Z_FBW1866,2504,7481,5,5,"1,127.00 ","481,965 "
Z_FBW1847,2896,9980,15,21,"2,206.50 ","477,594 "
Z_FBW1929,2341,9847,18,26,"4,885.50 ","461,693 "
Z_FBW1833,2127,6155,3,6,865.00 ,"419,797 "
Z_FBW1932,1267,7538,42,54,"8,677.00 ","416,073 "
Z_PFBW79,3749,8843,10,13,458.00 ,"357,041 "
Z_FBW1991,4053,7830,0,0,0.00 ,"306,129 "
Z_FBW1930,1655,6423,10,14,"2,163.00 ","299,541 "
Z_FBW1884,1599,6156,7,12,"1,665.00 ","292,657 "
Z_FBW1990,3640,7301,0,0,0.00 ,"280,387 "
Z_FBW1931,1000,4821,22,26,"5,142.00 ","266,925 "
Z_FBW1885,1745,5729,11,17,"2,139.50 ","255,870 "
Z_PFBW81,2808,6481,5,6,885.00 ,"254,463 "
Z_FBW1988,3230,6406,1,1,199.00 ,"250,457 "
Z_PFBW123,1422,4170,3,4,274.00 ,"246,018 "
Z_FBW1733,1810,4957,1,1,248.00 ,"245,098 "
Z_FBW1989,3184,6201,0,0,0.00 ,"238,586 "
Z_FBW1928,738,4021,21,34,"4,180.00 ","224,962 "
Z_PFBW87,2195,5456,10,15,"1,230.00 ","220,637 "
Z_FBW1743,1334,4035,1,1,263.00 ,"218,346 "
Z_FBW1983,2973,5660,0,0,0.00 ,"215,644 "
Z_FBW1860,1294,3691,3,5,593.00 ,"211,045 "
Z_FBW1982,2698,5334,1,1,249.00 ,"208,027 "
Z_FBW1876,806,3786,14,16,"2,524.50 ","201,579 "
Z_FBW1980,2782,5588,0,0,0.00 ,"198,733 "
Z_FBW1926,1541,3740,1,1,325.00 ,"198,637 "
Z_PFBW55,1499,4339,5,9,929.00 ,"195,021 "
Z_PFBW134,1027,3467,4,4,665.50 ,"185,978 "
Z_FBW1851,919,3507,7,8,"1,278.00 ","184,959 "
Z_FBW1981,2340,4547,0,0,0.00 ,"174,306 "
Z_FBW1951,1888,4013,1,1,102.00 ,"172,564 "
Z_PFBW125,945,2947,7,10,"1,376.00 ","171,069 "
Z_FBW1935,1122,3180,2,2,447.00 ,"168,989 "
Z_PFBW120,702,3093,3,5,672.00 ,"168,382 "
Z_PFBW130,920,2828,2,2,444.50 ,"166,770 "
